NAME,UACE,POP
"Abbeville, LA",00037,19824
"Aberdeen, SD",00145,25977
"Aberdeen, WA",00172,29856
"Aberdeen--Bel Air South--Bel Air North, MD",00199,213751
"Abilene, TX",00280,110421
"Ada, OK",00415,17400
"Adjuntas, PR",00550,11122
"Adrian, MI",00577,44823
"Agat, GU",00604,10093
"Aguadilla--Isabela--San Sebastián, PR",00631,306196
"Akron, OH",00766,569499
"Alamogordo, NM",00820,31862
"Albany, GA",00901,95779
"Albany, OR",00955,56997
"Albany--Schenectady, NY",00970,594962
"Albemarle, NC",00982,16823
"Albert Lea, MN",01009,17868
"Albertville, AL",01036,36815
"Albuquerque, NM",01171,741318
"Alexandria, LA",01279,82804
"Alexandria, MN",01306,16983
"Alice, TX",01414,20974
"Allentown, PA--NJ",01495,664651
"Alliance, OH",01549,32533
"Alma--St. Louis, MI",01630,16924
"Alpena, MI",01684,14258
"Alton, IL--MO",01765,83890
"Altoona, PA",01792,79930
"Altus, OK",01846,19900
"Amarillo, TX",01927,196651
"Americus, GA",02008,19106
"Ames, IA",02062,60438
"Amsterdam, NY",02170,22262
"Anacortes, WA",02224,16712
"Anchorage, AK",02305,251243
"Anchorage Northeast, AK",02332,28568
"Anderson, IN",02386,88133
"Anderson, SC",02413,75702
"Andrews, TX",02467,12346
"Angola, IN",02548,11196
"Anna, TX",02581,10746
"Ann Arbor, MI",02602,306022
"Anniston--Oxford, AL",02629,79796
"Antioch, CA",02683,277634
"Appleton, WI",02764,216154
"Arcadia--Southeast Arcadia, FL",02912,17490
"Arcata-McKinleyville, CA",02926,32364
"Archer Lodge--Clayton, NC",02965,13288
"Ardmore, OK",03007,20888
"Arecibo, PR",03034,139171
"Arizona City, AZ",03088,10531
"Arkadelphia, AR",03115,10491
"Arkansas City, KS",03142,13026
"Arlington, TN",03158,11502
"Arroyo Grande--Grover Beach, CA",03196,52000
"Artesia, NM",03223,12764
"Arvin, CA",03250,19573
"Asheboro, NC",03331,37792
"Asheville, NC",03358,280648
"Ashland, OH",03385,20226
"Ashtabula, OH",03466,29346
"Astoria, OR",03547,14115
"Atchison, KS--MO",03601,11166
"Athens, AL",03655,24956
"Athens, OH",03682,28286
"Athens, TN",03709,15985
"Athens, TX",03736,12169
"Athens-Clarke County, GA",03763,128754
"Athol, MA",03790,12834
"Atlanta, GA",03817,4515419
"Atlantic City, NJ",03898,248402
"Atoka, TN",03957,18885
"Auburn, AL",04033,74741
"Auburn, IN",04060,21712
"Auburn, NY",04114,32274
"Auburn--North Auburn, CA",04130,33157
"Augusta, ME",04195,22637
"Augusta-Richmond County, GA--SC",04222,386787
"Austin, MN",04357,25103
"Austin, TX",04384,1362416
"Avenal, CA",04465,15486
"Avondale--Goodyear, AZ",04549,197041
"Bainbridge, GA",04627,12118
"Bakersfield, CA",04681,523994
"Baltimore, MD",04843,2203663
"Bangor, ME",04951,61210
"Baraboo, WI",05005,13759
"Bardstown, KY",05059,18702
"Barnstable Town, MA",05167,246695
"Barre--Montpelier, VT",05221,21675
"Barstow, CA",05302,28973
"Bartlesville, OK",05329,38874
"Bastrop, LA",05437,13979
"Bastrop, TX",05464,13371
"Batavia, NY",05491,17834
"Batesville, AR",05545,11513
"Baton Rouge, LA",05680,594309
"Battle Creek, MI",05707,78393
"Bay City, MI",05869,70585
"Bay City, TX",05896,18745
"Beatrice, NE",06004,12405
"Beaufort--Port Royal, SC",06031,48807
"Beaumont, TX",06058,147922
"Beaver Dam, WI",06112,17833
"Beckley, WV",06139,64022
"Bedford, IN",06166,14977
"Beeville, TX",06274,18168
"Belgrade, MT",06382,13797
"Bellefontaine, OH",06436,13235
"Bellefonte, PA",06463,12888
"Belle Glade, FL",06517,24870
"Bellingham, WA",06652,114473
"Beloit, WI--IL",06760,63835
"Bemidji, MN",06841,14626
"Bend, OR",06868,83794
"Bennettsville, SC",06895,13006
"Bennington, VT",06922,12723
"Benton Harbor--St. Joseph--Fair Plain, MI",07138,61022
"Berea, KY",07165,15590
"Berlin, NH",07192,11159
"Big Bear City, CA",07508,15873
"Big Rapids, MI",07624,14241
"Big Spring, TX",07651,27987
"Billings, MT",07705,114773
"Binghamton, NY--PA",07732,158084
"Birch Bay, WA",07759,12737
"Birmingham, AL",07786,749495
"Bismarck, ND",07921,81955
"Blackfoot, ID",07948,15352
"Blacksburg, VA",08002,88542
"Bloomington, IN",08380,108657
"Bloomington--Normal, IL",08407,132600
"Bloomsburg--Berwick, PA",08434,53618
"Bluefield, WV--VA",08515,44092
"Blythe, CA--AZ",08623,12967
"Blytheville, AR",08650,18219
"Boerne, TX",08704,10467
"Bogalusa, LA",08731,12213
"Boise City, ID",08785,349684
"Bonita Springs, FL",08974,310298
"Boone, IA",09028,12793
"Boone, NC",09055,22763
"Borger, TX",09217,13574
"Boston, MA--NH--RI",09271,4181019
"Boulder, CO",09298,114591
"Boulder City, NV",09325,13866
"Bowling Green, KY",09379,78306
"Bowling Green, OH",09433,30738
"Bozeman, MT",09514,43164
"Bradford, PA--NY",09541,12083
"Braidwood--Coal City--Wilmington, IL",09600,22685
"Brainerd, MN",09622,19812
"Branson, MO",09676,22645
"Brawley, CA",09730,25032
"Breaux Bridge, LA",09801,18465
"Bremerton, WA",09946,198979
"Brenham, TX",09973,15682
"Brevard, NC",10027,13121
"Bridgeport--Stamford, CT--NY",10162,923311
"Bridgeton, NJ",10189,35022
"Bristol--Bristol, TN--VA",10351,69501
"Brockport, NY",10418,20255
"Brookhaven, MS",10594,10635
"Brookings, OR",10621,10915
"Brookings, SD",10648,22482
"Browns Mills--Fort Dix, NJ",10891,37985
"Brownsville, TX",10972,217585
"Brownwood, TX",10999,22711
"Brunswick, GA",11026,51024
"Brunswick, ME",11040,29159
"Buckeye, AZ",11134,19424
"Bucyrus, OH",11215,12401
"Buffalo, MN",11296,15972
"Buffalo, NY",11350,935906
"Bullhead City, AZ--NV",11431,48656
"Burkburnett, TX",11593,10002
"Burley, ID",11620,15977
"Burlington, IA--IL",11674,29569
"Burlington, NC",11728,119911
"Burlington, VT",11755,108740
"Burlington, WI",11782,23534
"Butler, PA",11998,40352
"Butner, NC",12025,16975
"Butte-Silver Bow, MT",12052,30287
"Cadillac, MI",12160,11690
"Calhoun, GA",12457,31493
"California City, CA",12565,10908
"Camarillo, CA",12754,71772
"Cambridge, MD",12808,14255
"Cambridge, MN",12835,14270
"Cambridge, OH",12862,15232
"Camden, AR",12916,11401
"Camden, SC",12970,13546
"Campbellsville, KY",13159,11719
"Canby, OR",13221,17119
"Cañon City, CO",13267,27139
"Canton, IL",13294,14818
"Canton, MS",13321,15321
"Canton, OH",13375,279245
"Canyon, TX",13456,13440
"Cape Coral, FL",13510,530290
"Cape Girardeau, MO--IL",13537,52900
"Carbondale, IL",13591,67821
"Carlsbad, NM",13807,29839
"Carrollton, GA",14023,42872
"Carson City, NV",14158,58079
"Cartersville, GA",14185,52477
"Carthage, MO",14266,15496
"Casa Grande, AZ",14401,51331
"Casper, WY",14482,64548
"Cedar City, UT",14698,33200
"Cedar Rapids, IA",14752,177844
"Cedartown, GA",14806,12502
"Celina, OH",14860,11259
"Centralia, IL",15022,17296
"Centralia, WA",15076,39517
"Chambersburg, PA",15184,50887
"Champaign, IL",15211,145361
