City: Abbeville, LA, Adj: 10
City: Aberdeen, SD, Adj: 4
City: Aberdeen, WA, Adj: 9
City: Aberdeen, MD, Adj: 14
City: Abilene, TX, Adj: 4
City: Ada, OK, Adj: 11
City: Adjuntas, PR, Adj: 14
City: Adrian, MI, Adj: 8
City: Agat, GU, Adj: 1
City: Aguadilla, PR, Adj: 11
City: Akron, OH, Adj: 12
City: Alamogordo, NM, Adj: 7
City: Albany, GA, Adj: 7
City: Albany, OR, Adj: 17
City: Albany, NY, Adj: 10
City: Albemarle, NC, Adj: 10
City: Albert Lea, MN, Adj: 13
City: Albertville, AL, Adj: 24
City: Albuquerque, NM, Adj: 7
City: Alexandria, LA, Adj: 12
City: Alexandria, MN, Adj: 7
City: Alice, TX, Adj: 8
City: Allentown, PA, Adj: 15
City: Alliance, OH, Adj: 13
City: Alma, MI, Adj: 9
City: Alpena, MI, Adj: 0
City: Alton, IL, Adj: 8
City: Altoona, PA, Adj: 12
City: Altus, OK, Adj: 6
City: Amarillo, TX, Adj: 8
City: Americus, GA, Adj: 7
City: Ames, IA, Adj: 8
City: Amsterdam, NY, Adj: 7
City: Anacortes, WA, Adj: 11
City: Anchorage, AK, Adj: 2
City: Anchorage Northeast, AK, Adj: 2
City: Anderson, IN, Adj: 14
City: Anderson, SC, Adj: 10
City: Andrews, TX, Adj: 11
City: Angola, IN, Adj: 14
City: Anna, TX, Adj: 17
City: Ann Arbor, MI, Adj: 9
City: Anniston, AL, Adj: 18
City: Antioch, CA, Adj: 23
City: Appleton, WI, Adj: 14
City: Arcadia, FL, Adj: 10
City: Arcata-McKinleyville, CA, Adj: 4
City: Archer Lodge, NC, Adj: 15
City: Ardmore, OK, Adj: 12
City: Arecibo, PR, Adj: 14
City: Arizona City, AZ, Adj: 17
City: Arkadelphia, AR, Adj: 10
City: Arkansas City, KS, Adj: 22
City: Arlington, TN, Adj: 11
City: Arroyo Grande, CA, Adj: 7
City: Artesia, NM, Adj: 9
City: Arvin, CA, Adj: 15
City: Asheboro, NC, Adj: 12
City: Asheville, NC, Adj: 10
City: Ashland, OH, Adj: 15
City: Ashtabula, OH, Adj: 5
City: Astoria, OR, Adj: 10
City: Atchison, KS, Adj: 17
City: Athens, AL, Adj: 19
City: Athens, OH, Adj: 11
City: Athens, TN, Adj: 7
City: Athens, TX, Adj: 19
City: Athens-Clarke County, GA, Adj: 8
City: Athol, MA, Adj: 11
City: Atlanta, GA, Adj: 8
City: Atlantic City, NJ, Adj: 7
City: Atoka, TN, Adj: 11
City: Auburn, AL, Adj: 13
City: Auburn, IN, Adj: 12
City: Auburn, NY, Adj: 7
City: Auburn, CA, Adj: 16
City: Augusta, ME, Adj: 6
City: Augusta-Richmond County, GA, Adj: 2
City: Austin, MN, Adj: 14
City: Austin, TX, Adj: 13
City: Avenal, CA, Adj: 14
City: Avondale, AZ, Adj: 16
City: Bainbridge, GA, Adj: 7
City: Bakersfield, CA, Adj: 10
City: Baltimore, MD, Adj: 14
City: Bangor, ME, Adj: 2
City: Baraboo, WI, Adj: 19
City: Bardstown, KY, Adj: 21
City: Barnstable Town, MA, Adj: 2
City: Barre, VT, Adj: 8
City: Barstow, CA, Adj: 5
City: Bartlesville, OK, Adj: 18
City: Bastrop, LA, Adj: 7
City: Bastrop, TX, Adj: 11
City: Batavia, NY, Adj: 5
City: Batesville, AR, Adj: 8
City: Baton Rouge, LA, Adj: 17
City: Battle Creek, MI, Adj: 13
City: Bay City, MI, Adj: 7
City: Bay City, TX, Adj: 9
City: Beatrice, NE, Adj: 16
City: Beaufort, SC, Adj: 5
City: Beaumont, TX, Adj: 8
City: Beaver Dam, WI, Adj: 31
City: Beckley, WV, Adj: 6
City: Bedford, IN, Adj: 12
City: Beeville, TX, Adj: 11
City: Belgrade, MT, Adj: 4
City: Bellefontaine, OH, Adj: 16
City: Bellefonte, PA, Adj: 9
City: Belle Glade, FL, Adj: 6
City: Bellingham, WA, Adj: 10
City: Beloit, WI, Adj: 32
City: Bemidji, MN, Adj: 2
City: Bend, OR, Adj: 2
City: Bennettsville, SC, Adj: 7
City: Bennington, VT, Adj: 18
City: Benton Harbor, MI, Adj: 9
City: Berea, KY, Adj: 18
City: Berlin, NH, Adj: 6
City: Big Bear City, CA, Adj: 10
City: Big Rapids, MI, Adj: 6
City: Big Spring, TX, Adj: 9
City: Billings, MT, Adj: 1
City: Binghamton, NY, Adj: 5
City: Birch Bay, WA, Adj: 8
City: Birmingham, AL, Adj: 14
City: Bismarck, ND, Adj: 2
City: Blackfoot, ID, Adj: 8
City: Blacksburg, VA, Adj: 6
City: Bloomington, IN, Adj: 11
City: Bloomington, IL, Adj: 10
City: Bloomsburg, PA, Adj: 13
City: Bluefield, WV, Adj: 10
City: Blythe, CA, Adj: 7
City: Blytheville, AR, Adj: 13
City: Boerne, TX, Adj: 9
City: Bogalusa, LA, Adj: 12
City: Boise City, ID, Adj: 7
City: Bonita Springs, FL, Adj: 5
City: Boone, IA, Adj: 7
City: Boone, NC, Adj: 7
City: Borger, TX, Adj: 7
City: Boston, MA, Adj: 9
City: Boulder, CO, Adj: 13
City: Boulder City, NV, Adj: 8
City: Bowling Green, KY, Adj: 16
City: Bowling Green, OH, Adj: 11
City: Bozeman, MT, Adj: 5
City: Bradford, PA, Adj: 5
City: Braidwood, IL, Adj: 8
City: Brainerd, MN, Adj: 6
City: Branson, MO, Adj: 8
City: Brawley, CA, Adj: 6
City: Breaux Bridge, LA, Adj: 12
City: Bremerton, WA, Adj: 14
City: Brenham, TX, Adj: 13
City: Brevard, NC, Adj: 11
City: Bridgeport, CT, Adj: 6
City: Bridgeton, NJ, Adj: 13
City: Bristol, TN, Adj: 7
City: Brockport, NY, Adj: 4
City: Brookhaven, MS, Adj: 12
City: Brookings, OR, Adj: 5
City: Brookings, SD, Adj: 13
City: Browns Mills, NJ, Adj: 10
City: Brownsville, TX, Adj: 4
City: Brownwood, TX, Adj: 3
City: Brunswick, GA, Adj: 7
City: Brunswick, ME, Adj: 8
City: Buckeye, AZ, Adj: 15
City: Bucyrus, OH, Adj: 16
City: Buffalo, MN, Adj: 18
City: Buffalo, NY, Adj: 4
City: Bullhead City, AZ, Adj: 8
City: Burkburnett, TX, Adj: 6
City: Burley, ID, Adj: 7
City: Burlington, IA, Adj: 14
City: Burlington, NC, Adj: 12
City: Burlington, VT, Adj: 7
City: Burlington, WI, Adj: 26
City: Butler, PA, Adj: 15
City: Butner, NC, Adj: 10
City: Butte-Silver Bow, MT, Adj: 5
City: Cadillac, MI, Adj: 2
City: Calhoun, GA, Adj: 11
